Date,Open,High,Low,Close,Adj Close,Volume
2017-07-05,103600.000000,103700.000000,102300.000000,102600.000000,102310.445313,10167
2017-07-06,104200.000000,104200.000000,103000.000000,103800.000000,103507.062500,11584
2017-07-07,103300.000000,103997.000000,103200.000000,103900.000000,103606.781250,16598
2017-07-10,104700.000000,106200.000000,104700.000000,106100.000000,105800.570313,19285
2017-07-11,106500.000000,107800.000000,106100.000000,107200.000000,106897.460938,23973
2017-07-12,108400.000000,110400.000000,108031.000000,110300.000000,109988.718750,24569
2017-07-13,111800.000000,111800.000000,111000.000000,111200.000000,110886.171875,16610
2017-07-14,111700.000000,112000.000000,110900.000000,111900.000000,111584.203125,18040
2017-07-17,112300.000000,112400.000000,111800.000000,112300.000000,111983.070313,18187
2017-07-18,112300.000000,113200.000000,112100.000000,113000.000000,112681.093750,19986
2017-07-19,113300.000000,113500.000000,111900.000000,111900.000000,111584.203125,26879
2017-07-20,113600.000000,114100.000000,113000.000000,114100.000000,113777.992188,12096
2017-07-21,114000.000000,114400.000000,112700.000000,112700.000000,112381.945313,19918
2017-07-24,111800.000000,113700.000000,111800.000000,112500.000000,112182.507813,30499
2017-07-25,111200.000000,111897.000000,108800.000000,110500.000000,110188.148438,56066
2017-07-26,111500.000000,111500.000000,110500.000000,110500.000000,110188.148438,22324
2017-07-27,112000.000000,112000.000000,111000.000000,111000.000000,110686.742188,30628
2017-07-28,106900.000000,106900.000000,105000.000000,106800.000000,106498.593750,31012
2017-07-31,107400.000000,108607.000000,107100.000000,107800.000000,107495.773438,15167
2017-08-01,108000.000000,108600.000000,106700.000000,107700.000000,107396.054688,29497
2017-08-02,109400.000000,110100.000000,108300.000000,110100.000000,109789.281250,25883
2017-08-03,105800.000000,106700.000000,105600.000000,106100.000000,105800.570313,23230
2017-08-04,106300.000000,106500.000000,105100.000000,106100.000000,105800.570313,14266
2017-08-07,105600.000000,106100.000000,105260.000000,105500.000000,105202.265625,19017
2017-08-08,106200.000000,106600.000000,105700.000000,106500.000000,106199.437500,17926
2017-08-09,102200.000000,103897.000000,100400.000000,101200.000000,100914.398438,29886
2017-08-10,100900.000000,100900.000000,98050.000000,99000.000000,98720.609375,25292
2017-08-11,97200.000000,98400.000000,96650.000000,98300.000000,98022.578125,29742
2017-08-14,99450.000000,101600.000000,98950.000000,101400.000000,101113.835938,57004
2017-08-15,102600.000000,102600.000000,101200.000000,102000.000000,101712.140625,37714
2017-08-16,101600.000000,103400.000000,101300.000000,103200.000000,102908.750000,54755
2017-08-17,103900.000000,104500.000000,103400.000000,103700.000000,103407.343750,45063
2017-08-18,103600.000000,103600.000000,102700.000000,103000.000000,102709.320313,18127
2017-08-21,103000.000000,103600.000000,102680.000000,103000.000000,102709.320313,15301
2017-08-22,104000.000000,104800.000000,103001.000000,104700.000000,104404.523438,16507
2017-08-23,105000.000000,105400.000000,104500.000000,104700.000000,104404.523438,21819
2017-08-24,105100.000000,107200.000000,105100.000000,106100.000000,105800.570313,29879
2017-08-25,104500.000000,105700.000000,104400.000000,104900.000000,104603.953125,16814
2017-08-29,102300.000000,102300.000000,101100.000000,102100.000000,101811.859375,23089
2017-08-30,103300.000000,103300.000000,102700.000000,102800.000000,102509.882813,18189
2017-08-31,103100.000000,103500.000000,102500.000000,102900.000000,102609.601563,20764
2017-09-01,103900.000000,105000.000000,103400.000000,104800.000000,104504.234375,32710
2017-09-04,101700.000000,102400.000000,101500.000000,102200.000000,101911.578125,10471
2017-09-05,103000.000000,104800.000000,102400.000000,102400.000000,102111.007813,21929
